method,accuracy_mean,accuracy_std,delta_vs_reference,wins_vs_reference,losses_vs_reference,draws_vs_reference,elapsed_sec,k,reg_lambda,normalize_output,distance_ratio_before_mean,distance_ratio_after_mean,distance_ratio_delta_mean,distance_ratio_improved_subjects,fold_failures
A1,0.4131944444444445,0.14098889816529597,0.0015432098765432137,5,2,2,27.421579970046878,32,0.0001,True,0.6787955074863967,0.5696190121546167,-0.10917649533178007,4,0
A2,0.4131944444444444,0.1447233718497738,0.0015432098765432137,4,2,3,27.208804625086486,32,0.01,True,0.6786458443216842,0.5358262735025692,-0.142819570819115,4,0
A2,0.4128086419753087,0.14440483861692724,0.0011574074074074125,4,2,3,26.779724642634392,32,0.001,True,0.6787536699436729,0.5370937503395066,-0.14165991960416646,4,0
A2,0.41165123456790126,0.1432382268926387,3.0839528461809902e-18,3,5,1,26.953766737133265,32,0.0001,False,0.6785880656613319,0.6785880656613319,5.088522196198634e-17,5,0
A2,0.4112654320987654,0.1438681151289418,-0.0003858024691358042,2,2,5,27.487744349986315,32,0.0001,True,0.6786122577414053,0.5351747389836669,-0.1434375187577385,4,0
A1,0.41087962962962965,0.14397166551331902,-0.0007716049382716114,3,4,2,26.78368078172207,32,0.001,True,0.6788861690359811,0.5406096301977404,-0.13827653883824065,4,0
A3,0.41087962962962965,0.145191211993438,-0.000771604938271596,2,4,3,26.938212196342647,32,0.01,True,0.6786373889905675,0.5365382768076886,-0.14209911218287877,4,0
A3,0.4104938271604939,0.143087343271008,-0.0011574074074074186,3,4,2,27.140165055170655,32,0.01,False,0.6786728121822857,0.6786728121822857,8.943463253924872e-17,3,0
A1,0.4104938271604939,0.145479251215744,-0.0011574074074073941,2,5,2,26.757062687538564,32,0.01,False,0.6788233417833968,0.6177705615788422,-0.06105278020455453,5,0
A2,0.4104938271604938,0.14467939810648248,-0.0011574074074074186,2,3,4,27.44693300873041,32,0.001,False,0.6786136811038112,0.6786136811038114,1.1950317278951337e-16,7,0
A3,0.4104938271604938,0.14381223678071972,-0.0011574074074074125,2,4,3,27.267452425323427,32,0.001,False,0.6785832221937609,0.678583222193761,1.1025131425097041e-16,6,0
A3,0.4104938271604938,0.14419944685784467,-0.0011574074074074002,2,4,3,26.867776717059314,32,0.0001,False,0.6786610821348921,0.6786610821348918,-1.5419764230904951e-16,2,0
A3,0.4104938271604938,0.14459604276097274,-0.0011574074074074125,1,4,4,27.748328206129372,32,0.001,True,0.6787964076016451,0.5378536212094068,-0.14094278639223817,4,0
A3,0.40972222222222215,0.14382504415301697,-0.0019290123456790086,2,5,2,27.728988748043776,32,0.0001,True,0.6786602318158097,0.5364692588911786,-0.14219097292463126,4,0
A1,0.40933641975308643,0.14535143225603947,-0.0023148148148148064,2,5,2,27.349811918102205,32,0.01,True,0.6786837947144612,0.5277996080195299,-0.15088418669493128,4,0
A2,0.4085648148148148,0.14629762401237645,-0.003086419753086418,1,6,2,27.77379476465285,32,0.01,False,0.6786331324528112,0.6786331324528114,1.765563004438617e-16,7,0
A1,0.40856481481481477,0.14466087884714085,-0.0030864197530864213,2,6,1,27.239215900190175,32,0.0001,False,0.6786226902197774,0.6141833783252754,-0.06443931189450192,3,0
A1,0.4074074074074074,0.14706818461491228,-0.00424382716049384,3,5,1,27.19277129136026,32,0.001,False,0.678741220945688,0.6750813576012723,-0.0036598633444156602,5,0
A3,0.40625000000000006,0.13575012362725425,-0.005401234567901215,3,6,0,28.119733035564423,16,0.0001,False,0.6788336219555391,0.7048856877572766,0.026052065801737655,3,0
A3,0.4058641975308642,0.13954321178797718,-0.005787037037037029,3,6,0,27.122979594394565,16,0.001,True,0.6787350363562737,0.7372669445636575,0.05853190820738366,7,0
A3,0.40586419753086417,0.13609875896647758,-0.0057870370370370385,2,6,1,27.228982129134238,8,0.001,False,0.6785557043602997,0.6475616235743222,-0.030994080785977256,2,0
A3,0.4050925925925926,0.13676765549466063,-0.00655864197530864,3,6,0,27.305368679575622,8,0.001,True,0.6785807337562656,0.8770146019395094,0.1984338681832439,6,0
A1,0.4050925925925926,0.1369108273759887,-0.006558641975308634,3,6,0,27.07399140484631,16,0.01,False,0.6784857554694861,0.8242759626653134,0.14579020719582736,6,0
A1,0.4050925925925926,0.13751490519661702,-0.006558641975308631,3,6,0,27.96759057790041,8,0.0001,False,0.678374807925448,0.7519126729488212,0.07353786502337306,6,0
A1,0.4050925925925926,0.13857386147782902,-0.006558641975308631,3,5,1,27.25695815961808,16,0.001,False,0.6785796717795103,0.6618206378010935,-0.016759033978416812,7,0
A1,0.4050925925925926,0.1370648452296923,-0.006558641975308631,2,6,1,26.76892731618136,8,0.001,True,0.6786515647979827,0.7879748619463081,0.10932329714832534,6,0
A1,0.4050925925925926,0.1368227393325276,-0.006558641975308628,2,6,1,27.586008024401963,8,0.001,False,0.6785847226490634,0.773977580070502,0.09539285742143863,7,0
A3,0.4050925925925926,0.1368227393325276,-0.006558641975308628,2,6,1,27.889875368215144,16,0.01,True,0.6786412267349257,0.7087309253250798,0.030089698590154052,6,0
A3,0.4050925925925926,0.14014191715701782,-0.006558641975308637,2,7,0,28.170632429420948,16,0.01,False,0.6785936948907693,0.7053323665033746,0.02673867161260543,5,0
A1,0.40509259259259256,0.13609383748101397,-0.006558641975308647,3,6,0,26.849211706779897,16,0.01,True,0.6785580389447544,0.6741407935575403,-0.004417245387214158,6,0
A3,0.4047067901234568,0.13686801388050446,-0.006944444444444435,2,6,1,27.882785418070853,8,0.01,True,0.6785284696392045,0.8917367047671897,0.21320823512798498,6,0
A1,0.4047067901234568,0.13691205042199336,-0.006944444444444429,2,7,0,27.60035553202033,16,0.0001,False,0.6783599831846714,0.6819276153138651,0.0035676321291938035,6,0
A1,0.4047067901234568,0.13705507146408724,-0.0069444444444444475,2,6,1,27.763057875446975,16,0.0001,True,0.6787607254674071,0.6576699855126233,-0.021090739954783697,6,0
A3,0.4047067901234568,0.13743938837422257,-0.006944444444444435,1,7,1,27.514724831096828,16,0.001,False,0.678612281828245,0.7007999969307589,0.02218771510251389,3,0
A3,0.404320987654321,0.13996018166603325,-0.00733024691358024,3,5,1,27.07463868521154,8,0.0001,False,0.6786183419979219,0.6516993402569562,-0.026919001740965683,2,0
A3,0.4039351851851852,0.13764635168690834,-0.007716049382716038,2,6,1,27.90892095863819,8,0.01,False,0.6786157950427616,0.6609876501522752,-0.01762814489048624,2,0
A1,0.4035493827160494,0.13623525926729427,-0.008101851851851841,2,6,1,27.715680648572743,8,0.01,False,0.6787087194949449,0.8638376621177031,0.18512894262275825,6,0
A1,0.40354938271604934,0.1383537626995403,-0.008101851851851848,2,7,0,26.748058572411537,16,0.001,True,0.6788537892894966,0.6042665957856317,-0.07458719350386483,4,0
A3,0.40277777777777773,0.13769013929790522,-0.008873456790123465,1,6,2,27.09060020837933,8,0.0001,True,0.6785148456023791,0.9393257267923519,0.2608108811899728,6,0
A1,0.402391975308642,0.13946759259259256,-0.00925925925925926,2,7,0,27.532181988470256,8,0.01,True,0.678624226659256,0.7973658869698879,0.11874166031063184,6,0
A3,0.40239197530864196,0.13577725811159166,-0.00925925925925926,1,7,1,26.85282197687775,16,0.0001,True,0.6788808220686382,0.7542198574159273,0.07533903534728921,6,0
A1,0.4020061728395062,0.13831018518518517,-0.009645061728395058,1,7,1,26.23785376828164,8,0.0001,True,0.678744696586819,0.7874645187191319,0.10871982213231274,6,0
A2,0.38155864197530864,0.13291678962350956,-0.030092592592592598,2,7,0,26.697507610544562,16,0.0001,False,0.6785999201013121,0.9339791375012392,0.25537921739992736,9,0
A2,0.38155864197530864,0.13117057006025173,-0.030092592592592598,2,6,1,27.33005403727293,16,0.001,True,0.6783740532794034,0.817280022098601,0.1389059688191976,7,0
A2,0.3811728395061728,0.1306794460765967,-0.0304783950617284,2,6,1,27.558646363206208,16,0.001,False,0.6785585489153955,0.9346488290309585,0.25609028011556306,9,0
A2,0.380787037037037,0.12745940863178926,-0.030864197530864185,3,6,0,27.153984608128667,16,0.0001,True,0.678567158435177,0.8203004655278343,0.14173330709265725,7,0
A2,0.3800154320987654,0.11392528729938883,-0.0316358024691358,3,6,0,26.68278526235372,8,0.001,True,0.6786767712389281,0.9024144972278157,0.22373772598888766,7,0
A2,0.37885802469135804,0.13782627845684853,-0.0327932098765432,2,6,1,28.202099005691707,16,0.01,False,0.678629720187223,0.9407079454621162,0.2620782252748933,9,0
A2,0.3777006172839506,0.1353919334804607,-0.03395061728395063,2,6,1,27.87929544877261,16,0.01,True,0.6787540434977084,0.8253017767759704,0.14654773327826195,7,0
A2,0.3765432098765432,0.11639859339606137,-0.03510802469135802,3,6,0,28.10224164929241,8,0.001,False,0.6786940118574261,0.9521575831940596,0.2734635713366337,7,0
A2,0.3765432098765432,0.11212524267345701,-0.03510802469135802,3,6,0,28.157635343261063,8,0.0001,False,0.6782075546310125,0.9515874952005594,0.273379940569547,7,0
A2,0.3742283950617284,0.11481691493001649,-0.03742283950617284,3,6,0,27.110782070085406,8,0.0001,True,0.678460007750155,0.894470816009344,0.216010808259189,7,0
A2,0.369212962962963,0.11538283783550876,-0.042438271604938266,3,6,0,28.055553331039846,8,0.01,False,0.6785861921949441,0.9921357103744985,0.3135495181795544,7,0
A2,0.36728395061728397,0.1146330092468348,-0.044367283950617294,3,6,0,26.963337812572718,8,0.01,True,0.6785267953827404,0.9558353007643873,0.277308505381647,7,0
