policy,setting,coverage,mean_acc,mean_bacc,mean_macro_f1,late_session_acc,delta_vs_ra,worst_subject_delta
d_tgt,near_causal,0.1,0.42901234567901236,0.42901234567901236,0.4116128896985571,0.4027777777777778,0.0015432098765432107,-0.00694444444444442
d_tgt,near_causal,0.2,0.42592592592592593,0.42592592592592593,0.409297265995783,0.4027777777777778,-0.0015432098765432137,-0.02083333333333337
d_tgt,near_causal,0.3,0.42746913580246915,0.42746913580246915,0.4107335693304722,0.4050925925925926,1.2335811384723961e-17,-0.024305555555555525
d_tgt,near_causal,0.4,0.4251543209876543,0.4251543209876543,0.4077460051713385,0.4050925925925926,-0.002314814814814816,-0.02777777777777779
d_tgt,near_causal,0.5,0.4251543209876543,0.4251543209876543,0.4077460051713385,0.4050925925925926,-0.002314814814814816,-0.02777777777777779
d_tgt,near_causal,0.6,0.42901234567901236,0.42901234567901236,0.41092787200030995,0.4097222222222222,0.0015432098765432198,-0.03125
d_tgt,near_causal,0.7,0.4232253086419753,0.4232253086419753,0.40389409607532367,0.4050925925925926,-0.004243827160493822,-0.05208333333333337
d_tgt,near_causal,0.8,0.42091049382716045,0.4209104938271605,0.4005506706929584,0.40625,-0.006558641975308649,-0.05902777777777779
d_tgt,near_causal,0.9,0.4166666666666667,0.4166666666666667,0.39267152813481965,0.39467592592592593,-0.010802469135802486,-0.06944444444444448
d_tgt,retrospective,0.1,0.42476851851851855,0.42476851851851855,0.4067939728206699,0.3969907407407407,-0.002700617283950617,-0.01736111111111116
d_tgt,retrospective,0.2,0.42399691358024694,0.42399691358024694,0.40733522385684545,0.39814814814814814,-0.003472222222222219,-0.03125
d_tgt,retrospective,0.3,0.4205246913580247,0.4205246913580247,0.4046837300341362,0.3969907407407407,-0.006944444444444454,-0.03472222222222221
d_tgt,retrospective,0.4,0.4178240740740741,0.41782407407407407,0.40171099830539175,0.3935185185185185,-0.009645061728395058,-0.03819444444444442
d_tgt,retrospective,0.5,0.4178240740740741,0.41782407407407407,0.40171099830539175,0.3935185185185185,-0.009645061728395058,-0.03819444444444442
d_tgt,retrospective,0.6,0.4201388888888889,0.4201388888888889,0.4040611342777563,0.3969907407407407,-0.007330246913580252,-0.048611111111111105
d_tgt,retrospective,0.7,0.4189814814814815,0.4189814814814815,0.4014276407010661,0.3993055555555556,-0.008487654320987657,-0.041666666666666685
d_tgt,retrospective,0.8,0.42129629629629634,0.42129629629629634,0.4020983223627532,0.4085648148148148,-0.006172839506172843,-0.041666666666666685
d_tgt,retrospective,0.9,0.41820987654320985,0.41820987654320985,0.39629042123796604,0.4027777777777778,-0.00925925925925927,-0.0625
kcar,near_causal,0.1,0.4305555555555556,0.4305555555555556,0.4131075335830311,0.4074074074074074,0.0030864197530864027,-0.01041666666666674
kcar,near_causal,0.2,0.4324845679012346,0.4324845679012346,0.4159326804915464,0.4074074074074074,0.005015432098765436,-0.01388888888888895
kcar,near_causal,0.3,0.4282407407407407,0.42824074074074076,0.41168812924617587,0.4074074074074074,0.0007716049382715898,-0.02083333333333337
kcar,near_causal,0.4,0.42746913580246915,0.42746913580246915,0.41030412088229906,0.4074074074074074,-9.25185853854297e-18,-0.02430555555555558
kcar,near_causal,0.5,0.42746913580246915,0.42746913580246915,0.41030412088229906,0.4074074074074074,-9.25185853854297e-18,-0.02430555555555558
kcar,near_causal,0.6,0.42554012345679015,0.4255401234567901,0.4075139715043097,0.4027777777777778,-0.0019290123456790179,-0.02777777777777779
kcar,near_causal,0.7,0.4232253086419753,0.4232253086419753,0.40337125479704616,0.4039351851851852,-0.004243827160493834,-0.034722222222222265
kcar,near_causal,0.8,0.4189814814814815,0.4189814814814815,0.39703911488677224,0.400462962962963,-0.008487654320987652,-0.05555555555555558
kcar,near_causal,0.9,0.41820987654320985,0.41820987654320985,0.3945700464980232,0.4016203703703704,-0.009259259259259266,-0.0625
kcar,retrospective,0.1,0.4270833333333333,0.4270833333333333,0.4093335149932781,0.3958333333333333,-0.00038580246913581345,-0.017361111111111105
kcar,retrospective,0.2,0.42592592592592593,0.42592592592592593,0.40802188987300114,0.3958333333333333,-0.0015432098765432198,-0.01388888888888895
kcar,retrospective,0.3,0.4263117283950617,0.4263117283950617,0.40883219428685513,0.3958333333333333,-0.001157407407407425,-0.01736111111111116
kcar,retrospective,0.4,0.42476851851851855,0.42476851851851855,0.4079049236568502,0.3969907407407407,-0.0027006172839506137,-0.034722222222222265
kcar,retrospective,0.5,0.42476851851851855,0.42476851851851855,0.4079049236568502,0.3969907407407407,-0.0027006172839506137,-0.034722222222222265
kcar,retrospective,0.6,0.42554012345679015,0.4255401234567901,0.4067531075343813,0.3912037037037037,-0.0019290123456790086,-0.038194444444444475
kcar,retrospective,0.7,0.43209876543209874,0.43209876543209874,0.412538370285279,0.40046296296296297,0.004629629629629619,-0.034722222222222265
kcar,retrospective,0.8,0.42862654320987653,0.42862654320987653,0.4070544730125224,0.39814814814814814,0.0011574074074074095,-0.048611111111111105
kcar,retrospective,0.9,0.4220679012345679,0.4220679012345679,0.398865363132024,0.3993055555555556,-0.00540123456790124,-0.05208333333333337
ra,near_causal,0.1,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.2,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.3,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.4,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.5,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.6,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.7,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.8,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.9,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.1,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.2,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.3,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.4,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.5,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.6,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.7,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.8,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.9,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
sigma_recent,near_causal,0.1,0.4224537037037037,0.4224537037037037,0.4046129335328909,0.3842592592592593,-0.005015432098765439,-0.01736111111111116
sigma_recent,near_causal,0.2,0.4201388888888889,0.4201388888888889,0.4032621948795956,0.38657407407407407,-0.007330246913580248,-0.02083333333333337
sigma_recent,near_causal,0.3,0.4166666666666667,0.4166666666666667,0.3993927219473847,0.38310185185185186,-0.010802469135802469,-0.03819444444444442
sigma_recent,near_causal,0.4,0.41435185185185186,0.41435185185185186,0.39636998703323356,0.3877314814814815,-0.013117283950617287,-0.04513888888888895
sigma_recent,near_causal,0.5,0.41435185185185186,0.41435185185185186,0.39636998703323356,0.3877314814814815,-0.013117283950617287,-0.04513888888888895
sigma_recent,near_causal,0.6,0.41820987654320985,0.41820987654320985,0.40000225698248876,0.3888888888888889,-0.009259259259259252,-0.038194444444444475
sigma_recent,near_causal,0.7,0.4174382716049383,0.4174382716049383,0.39800393470268447,0.39814814814814814,-0.010030864197530869,-0.05208333333333337
sigma_recent,near_causal,0.8,0.41705246913580246,0.41705246913580246,0.39549855997474226,0.39467592592592593,-0.010416666666666664,-0.048611111111111105
sigma_recent,near_causal,0.9,0.41435185185185186,0.41435185185185186,0.390225241826937,0.39467592592592593,-0.013117283950617283,-0.06944444444444448
sigma_recent,retrospective,0.1,0.4220679012345679,0.4220679012345679,0.40516667213967117,0.40046296296296297,-0.005401234567901237,-0.02083333333333337
sigma_recent,retrospective,0.2,0.4243827160493827,0.4243827160493827,0.40767949090061967,0.4016203703703704,-0.0030864197530864213,-0.02430555555555558
sigma_recent,retrospective,0.3,0.4263117283950617,0.4263117283950617,0.41015573164848407,0.40046296296296297,-0.0011574074074074125,-0.02777777777777779
sigma_recent,retrospective,0.4,0.4220679012345679,0.4220679012345679,0.40663771707886587,0.3969907407407407,-0.005401234567901237,-0.04166666666666663
sigma_recent,retrospective,0.5,0.4220679012345679,0.4220679012345679,0.40663771707886587,0.3969907407407407,-0.005401234567901237,-0.04166666666666663
sigma_recent,retrospective,0.6,0.4174382716049383,0.41743827160493824,0.40159440370476784,0.3923611111111111,-0.010030864197530853,-0.05902777777777779
sigma_recent,retrospective,0.7,0.41628086419753085,0.41628086419753085,0.39895229565772,0.3888888888888889,-0.011188271604938278,-0.04861111111111116
sigma_recent,retrospective,0.8,0.4139660493827161,0.4139660493827161,0.39320164400393676,0.38310185185185186,-0.013503086419753094,-0.05208333333333337
sigma_recent,retrospective,0.9,0.41782407407407407,0.41782407407407407,0.3942874939915092,0.39467592592592593,-0.009645061728395073,-0.05208333333333337
