policy,setting,coverage,baseline_policy,mean_accuracy,mean_delta_vs_baseline,wins,losses,draws,worst_subject_delta,late_session_gap
d_tgt,near_causal,0.1,ra,0.42901234567901236,0.0015432098765432107,4,2,3,-0.00694444444444442,0.003472222222222222
kcar,near_causal,0.1,ra,0.4305555555555556,0.0030864197530864027,6,3,0,-0.01041666666666674,0.008101851851851853
sigma_recent,near_causal,0.1,ra,0.4224537037037037,-0.005015432098765439,1,6,2,-0.01736111111111116,-0.015046296296296299
d_tgt,near_causal,0.2,ra,0.42592592592592593,-0.0015432098765432137,4,5,0,-0.02083333333333337,0.0034722222222222285
kcar,near_causal,0.2,ra,0.43248456790123463,0.005015432098765436,5,3,1,-0.01388888888888895,0.008101851851851853
sigma_recent,near_causal,0.2,ra,0.4201388888888889,-0.007330246913580248,1,7,1,-0.02083333333333337,-0.012731481481481479
d_tgt,near_causal,0.3,ra,0.42746913580246915,1.2335811384723961e-17,5,3,1,-0.024305555555555525,0.005787037037037053
kcar,near_causal,0.3,ra,0.42824074074074076,0.0007716049382715898,4,4,1,-0.02083333333333337,0.008101851851851853
sigma_recent,near_causal,0.3,ra,0.4166666666666667,-0.010802469135802469,1,7,1,-0.03819444444444442,-0.016203703703703696
d_tgt,near_causal,0.4,ra,0.4251543209876543,-0.002314814814814816,4,4,1,-0.02777777777777779,0.005787037037037047
kcar,near_causal,0.4,ra,0.42746913580246915,-9.25185853854297e-18,4,4,1,-0.02430555555555558,0.008101851851851848
sigma_recent,near_causal,0.4,ra,0.41435185185185186,-0.013117283950617287,2,7,0,-0.04513888888888895,-0.011574074074074077
d_tgt,near_causal,0.5,ra,0.4251543209876543,-0.002314814814814816,4,4,1,-0.02777777777777779,0.005787037037037047
kcar,near_causal,0.5,ra,0.42746913580246915,-9.25185853854297e-18,4,4,1,-0.02430555555555558,0.008101851851851848
sigma_recent,near_causal,0.5,ra,0.41435185185185186,-0.013117283950617287,2,7,0,-0.04513888888888895,-0.011574074074074077
d_tgt,near_causal,0.6,ra,0.42901234567901236,0.0015432098765432198,5,3,1,-0.03125,0.010416666666666673
kcar,near_causal,0.6,ra,0.42554012345679015,-0.0019290123456790179,5,4,0,-0.02777777777777779,0.003472222222222222
sigma_recent,near_causal,0.6,ra,0.4182098765432099,-0.009259259259259252,4,5,0,-0.038194444444444475,-0.010416666666666666
d_tgt,near_causal,0.7,ra,0.4232253086419753,-0.004243827160493822,4,4,1,-0.05208333333333337,0.005787037037037041
kcar,near_causal,0.7,ra,0.4232253086419753,-0.004243827160493834,5,4,0,-0.034722222222222265,0.004629629629629638
sigma_recent,near_causal,0.7,ra,0.4174382716049383,-0.010030864197530869,4,4,1,-0.05208333333333337,-0.0011574074074074095
d_tgt,near_causal,0.8,ra,0.4209104938271605,-0.006558641975308649,5,4,0,-0.05902777777777779,0.006944444444444444
kcar,near_causal,0.8,ra,0.41898148148148145,-0.008487654320987652,4,5,0,-0.05555555555555558,0.0011574074074074219
sigma_recent,near_causal,0.8,ra,0.41705246913580246,-0.010416666666666664,3,4,2,-0.048611111111111105,-0.004629629629629632
d_tgt,near_causal,0.9,ra,0.4166666666666667,-0.010802469135802486,4,4,1,-0.06944444444444448,-0.004629629629629632
kcar,near_causal,0.9,ra,0.4182098765432099,-0.009259259259259266,4,5,0,-0.0625,0.002314814814814819
sigma_recent,near_causal,0.9,ra,0.4143518518518518,-0.013117283950617283,4,5,0,-0.06944444444444448,-0.004629629629629632
d_tgt,retrospective,0.1,ra,0.42476851851851855,-0.002700617283950617,3,6,0,-0.01736111111111116,-0.002314814814814819
kcar,retrospective,0.1,ra,0.4270833333333333,-0.00038580246913581345,5,3,1,-0.017361111111111105,-0.0034722222222222285
sigma_recent,retrospective,0.1,ra,0.42206790123456783,-0.005401234567901237,2,7,0,-0.02083333333333337,0.0011574074074074032
d_tgt,retrospective,0.2,ra,0.42399691358024694,-0.003472222222222219,2,5,2,-0.03125,-0.0011574074074074095
kcar,retrospective,0.2,ra,0.42592592592592593,-0.0015432098765432198,4,5,0,-0.01388888888888895,-0.003472222222222222
sigma_recent,retrospective,0.2,ra,0.4243827160493827,-0.0030864197530864213,2,6,1,-0.02430555555555558,0.002314814814814825
d_tgt,retrospective,0.3,ra,0.4205246913580247,-0.006944444444444454,1,6,2,-0.03472222222222221,-0.0023148148148148064
kcar,retrospective,0.3,ra,0.4263117283950617,-0.001157407407407425,4,4,1,-0.01736111111111116,-0.003472222222222222
sigma_recent,retrospective,0.3,ra,0.4263117283950617,-0.0011574074074074125,4,3,2,-0.02777777777777779,0.0011574074074074156
d_tgt,retrospective,0.4,ra,0.4178240740740741,-0.009645061728395058,3,5,1,-0.03819444444444442,-0.005787037037037029
kcar,retrospective,0.4,ra,0.4247685185185185,-0.0027006172839506137,4,5,0,-0.034722222222222265,-0.0023148148148148064
sigma_recent,retrospective,0.4,ra,0.42206790123456794,-0.005401234567901237,3,4,2,-0.04166666666666663,-0.0023148148148148064
d_tgt,retrospective,0.5,ra,0.4178240740740741,-0.009645061728395058,3,5,1,-0.03819444444444442,-0.005787037037037029
kcar,retrospective,0.5,ra,0.4247685185185185,-0.0027006172839506137,4,5,0,-0.034722222222222265,-0.0023148148148148064
sigma_recent,retrospective,0.5,ra,0.42206790123456794,-0.005401234567901237,3,4,2,-0.04166666666666663,-0.0023148148148148064
d_tgt,retrospective,0.6,ra,0.42013888888888895,-0.007330246913580252,3,6,0,-0.048611111111111105,-0.0023148148148148064
kcar,retrospective,0.6,ra,0.42554012345679015,-0.0019290123456790086,5,4,0,-0.038194444444444475,-0.008101851851851841
sigma_recent,retrospective,0.6,ra,0.4174382716049383,-0.010030864197530853,3,4,2,-0.05902777777777779,-0.006944444444444444
d_tgt,retrospective,0.7,ra,0.4189814814814815,-0.008487654320987657,3,6,0,-0.041666666666666685,0.0
kcar,retrospective,0.7,ra,0.43209876543209874,0.004629629629629619,5,4,0,-0.034722222222222265,0.0011574074074074219
sigma_recent,retrospective,0.7,ra,0.41628086419753085,-0.011188271604938278,2,6,1,-0.04861111111111116,-0.010416666666666673
d_tgt,retrospective,0.8,ra,0.42129629629629634,-0.006172839506172843,3,5,1,-0.041666666666666685,0.009259259259259257
kcar,retrospective,0.8,ra,0.4286265432098766,0.0011574074074074095,5,4,0,-0.048611111111111105,-0.0011574074074073972
sigma_recent,retrospective,0.8,ra,0.4139660493827161,-0.013503086419753094,3,6,0,-0.05208333333333337,-0.016203703703703706
d_tgt,retrospective,0.9,ra,0.4182098765432099,-0.00925925925925927,5,4,0,-0.0625,0.003472222222222216
kcar,retrospective,0.9,ra,0.4220679012345679,-0.00540123456790124,4,4,1,-0.05208333333333337,6.1679056923619804e-18
sigma_recent,retrospective,0.9,ra,0.41782407407407407,-0.009645061728395073,4,5,0,-0.05208333333333337,-0.004629629629629632
kcar,near_causal,0.1,d_tgt,0.4305555555555556,0.001543209876543192,3,3,3,-0.01041666666666674,0.004629629629629632
kcar,near_causal,0.2,d_tgt,0.43248456790123463,0.006558641975308649,4,3,2,-0.017361111111111105,0.004629629629629626
kcar,near_causal,0.3,d_tgt,0.42824074074074076,0.0007716049382715776,4,4,1,-0.01388888888888895,0.0023148148148148004
kcar,near_causal,0.4,d_tgt,0.42746913580246915,0.0023148148148148064,4,5,0,-0.017361111111111105,0.0023148148148148004
kcar,near_causal,0.5,d_tgt,0.42746913580246915,0.0023148148148148064,4,5,0,-0.017361111111111105,0.0023148148148148004
kcar,near_causal,0.6,d_tgt,0.42554012345679015,-0.0034722222222222376,4,5,0,-0.02777777777777779,-0.006944444444444451
kcar,near_causal,0.7,d_tgt,0.4232253086419753,-1.2335811384723961e-17,4,3,2,-0.02083333333333337,-0.0011574074074074032
kcar,near_causal,0.8,d_tgt,0.41898148148148145,-0.0019290123456790025,4,4,1,-0.048611111111111105,-0.005787037037037023
kcar,near_causal,0.9,d_tgt,0.4182098765432099,0.0015432098765432198,3,3,3,-0.010416666666666657,0.006944444444444451
kcar,retrospective,0.1,d_tgt,0.4270833333333333,0.0023148148148148034,4,4,1,-0.013888888888888895,-0.0011574074074074095
kcar,retrospective,0.2,d_tgt,0.42592592592592593,0.0019290123456789992,3,5,1,-0.013888888888888895,-0.002314814814814813
kcar,retrospective,0.3,d_tgt,0.4263117283950617,0.005787037037037029,4,3,2,-0.01388888888888895,-0.0011574074074074156
kcar,retrospective,0.4,d_tgt,0.4247685185185185,0.006944444444444444,6,2,1,-0.01736111111111116,0.003472222222222222
kcar,retrospective,0.5,d_tgt,0.4247685185185185,0.006944444444444444,6,2,1,-0.01736111111111116,0.003472222222222222
kcar,retrospective,0.6,d_tgt,0.42554012345679015,0.005401234567901243,3,6,0,-0.01736111111111116,-0.005787037037037035
kcar,retrospective,0.7,d_tgt,0.43209876543209874,0.013117283950617278,7,2,0,-0.01388888888888895,0.0011574074074074219
kcar,retrospective,0.8,d_tgt,0.4286265432098766,0.007330246913580252,5,3,1,-0.01736111111111116,-0.010416666666666654
kcar,retrospective,0.9,d_tgt,0.4220679012345679,0.0038580246913580297,4,2,3,-0.006944444444444475,-0.00347222222222221
kcar,near_causal,0.1,sigma_recent,0.4305555555555556,0.008101851851851841,6,3,0,-0.006944444444444531,0.023148148148148154
kcar,near_causal,0.2,sigma_recent,0.43248456790123463,0.012345679012345685,7,2,0,-0.01388888888888895,0.020833333333333332
kcar,near_causal,0.3,sigma_recent,0.42824074074074076,0.011574074074074058,5,3,1,-0.01388888888888895,0.02430555555555555
kcar,near_causal,0.4,sigma_recent,0.42746913580246915,0.013117283950617278,6,3,0,-0.01388888888888895,0.019675925925925923
kcar,near_causal,0.5,sigma_recent,0.42746913580246915,0.013117283950617278,6,3,0,-0.01388888888888895,0.019675925925925923
kcar,near_causal,0.6,sigma_recent,0.42554012345679015,0.0073302469135802335,4,3,2,-0.01736111111111116,0.013888888888888888
kcar,near_causal,0.7,sigma_recent,0.4232253086419753,0.005787037037037035,4,3,2,-0.045138888888888895,0.005787037037037047
kcar,near_causal,0.8,sigma_recent,0.41898148148148145,0.0019290123456790116,3,3,3,-0.03125,0.005787037037037053
kcar,near_causal,0.9,sigma_recent,0.4182098765432099,0.003858024691358017,4,1,4,-0.00347222222222221,0.006944444444444451
kcar,retrospective,0.1,sigma_recent,0.4270833333333333,0.005015432098765423,6,3,0,-0.01388888888888895,-0.004629629629629632
kcar,retrospective,0.2,sigma_recent,0.42592592592592593,0.0015432098765432013,4,4,1,-0.02430555555555558,-0.005787037037037047
kcar,retrospective,0.3,sigma_recent,0.4263117283950617,-1.2335811384723961e-17,4,4,1,-0.02430555555555558,-0.004629629629629638
kcar,retrospective,0.4,sigma_recent,0.4247685185185185,0.002700617283950623,5,4,0,-0.02430555555555558,0.0
kcar,retrospective,0.5,sigma_recent,0.4247685185185185,0.002700617283950623,5,4,0,-0.02430555555555558,0.0
kcar,retrospective,0.6,sigma_recent,0.42554012345679015,0.008101851851851844,6,2,1,-0.02083333333333337,-0.0011574074074073972
kcar,retrospective,0.7,sigma_recent,0.43209876543209874,0.0158179012345679,7,2,0,-0.01388888888888895,0.011574074074074094
kcar,retrospective,0.8,sigma_recent,0.4286265432098766,0.014660493827160503,6,3,0,-0.01736111111111116,0.015046296296296311
kcar,retrospective,0.9,sigma_recent,0.4220679012345679,0.004243827160493834,5,1,3,-0.01041666666666663,0.004629629629629638
